Symbol,YahooSymbol,Name,Exchange,Series
CARYSIL,CARYSIL.NS,CARYSIL,NSE,EQ
CASHIETF,CASHIETF.NS,CASHIETF,NSE,EQ
CASTROLIND,CASTROLIND.NS,CASTROLIND,NSE,EQ
CCAVENUE,CCAVENUE.NS,CCAVENUE,NSE,EQ
CCCL,CCCL.NS,CCCL,NSE,EQ
CCHHL,CCHHL.NS,CCHHL,NSE,EQ
CCL,CCL.NS,CCL,NSE,EQ
CDSL,CDSL.NS,CDSL,NSE,EQ
CEATLTD,CEATLTD.NS,CEATLTD,NSE,EQ
CEIGALL,CEIGALL.NS,CEIGALL,NSE,EQ
CEINSYS,CEINSYS.NS,CEINSYS,NSE,EQ
CELEBRITY,CELEBRITY.NS,CELEBRITY,NSE,EQ
CELLO,CELLO.NS,CELLO,NSE,EQ
CEMPRO,CEMPRO.NS,CEMPRO,NSE,EQ
CENTENKA,CENTENKA.NS,CENTENKA,NSE,EQ
CENTEXT,CENTEXT.NS,CENTEXT,NSE,EQ
CENTRALBK,CENTRALBK.NS,CENTRALBK,NSE,EQ
CENTRUM,CENTRUM.NS,CENTRUM,NSE,EQ
CENTUM,CENTUM.NS,CENTUM,NSE,EQ
CENTURYPLY,CENTURYPLY.NS,CENTURYPLY,NSE,EQ
CERA,CERA.NS,CERA,NSE,EQ
CESC,CESC.NS,CESC,NSE,EQ
CEWATER,CEWATER.NS,CEWATER,NSE,EQ
CGCL,CGCL.NS,CGCL,NSE,EQ
